tag,x,y,direction,x_variance,y_variance,xy_covariance
car_start,20.92226,-14.0325,-3.126684,0.01,0.01,0.0
blue,8.79689,-15.5,0.0,0.01,0.01,0.0
yellow,8.79689,-12.5,0.0,0.01,0.01,0.0
blue,10.49493,-15.50029,0.0,0.01,0.01,0.0
yellow,10.49885,-12.5003,0.0,0.01,0.01,0.0
blue,12.19297,-15.50058,0.0,0.01,0.01,0.0
yellow,12.20081,-12.5006,0.0,0.01,0.01,0.0
blue,13.89101,-15.50087,0.0,0.01,0.01,0.0
yellow,13.90277,-12.50091,0.0,0.01,0.01,0.0
blue,15.58904,-15.50117,0.0,0.01,0.01,0.0
yellow,15.60474,-12.50121,0.0,0.01,0.01,0.0
blue,17.28871,-15.51509,0.0,0.01,0.01,0.0
yellow,17.30492,-12.51513,0.0,0.01,0.01,0.0
blue,18.98887,-15.53315,0.0,0.01,0.01,0.0
yellow,19.00457,-12.53319,0.0,0.01,0.01,0.0
blue,20.71318,-15.53485,0.0,0.01,0.01,0.0
yellow,20.68018,-12.53506,0.0,0.01,0.01,0.0
blue,22.41237,-15.49125,0.0,0.01,0.01,0.0
yellow,22.37969,-12.49146,0.0,0.01,0.01,0.0
blue,24.06126,-15.52748,0.0,0.01,0.01,0.0
yellow,24.12981,-12.52828,0.0,0.01,0.01,0.0
blue,25.95471,-15.47296,0.0,0.01,0.01,0.0
yellow,25.63267,-12.49031,0.0,0.01,0.01,0.0
blue,28.17234,-14.80598,0.0,0.01,0.01,0.0
yellow,26.65656,-12.21798,0.0,0.01,0.01,0.0
blue,29.87006,-13.18842,0.0,0.01,0.01,0.0
yellow,27.39233,-11.49727,0.0,0.01,0.01,0.0
blue,30.4947,-10.39108,0.0,0.01,0.01,0.0
yellow,27.58236,-11.10453,0.0,0.01,0.01,0.0
blue,29.25613,-8.276897,0.0,0.01,0.01,0.0
yellow,27.07894,-10.34074,0.0,0.01,0.01,0.0
blue,27.38848,-6.933025,0.0,0.01,0.01,0.0
yellow,26.21806,-9.694744,0.0,0.01,0.01,0.0
blue,25.25427,-6.467773,0.0,0.01,0.01,0.0
yellow,25.04074,-9.460099,0.0,0.01,0.01,0.0
blue,23.40361,-6.455289,0.0,0.01,0.01,0.0
yellow,23.49314,-9.453952,0.0,0.01,0.01,0.0
blue,21.74766,-6.50684,0.0,0.01,0.01,0.0
yellow,21.75087,-9.506809,0.0,0.01,0.01,0.0
blue,20.07179,-6.468646,0.0,0.01,0.01,0.0
yellow,20.02775,-9.468283,0.0,0.01,0.01,0.0
blue,18.34567,-6.459494,0.0,0.01,0.01,0.0
yellow,18.35396,-9.459479,0.0,0.01,0.01,0.0
blue,16.64525,-6.473904,0.0,0.01,0.01,0.0
yellow,16.6545,-9.473889,0.0,0.01,0.01,0.0
blue,14.94502,-6.48847,0.0,0.01,0.01,0.0
yellow,14.95485,-9.488454,0.0,0.01,0.01,0.0
blue,13.24164,-6.501314,0.0,0.01,0.01,0.0
yellow,13.25834,-9.501255,0.0,0.01,0.01,0.0
blue,11.5386,-6.513823,0.0,0.01,0.01,0.0
yellow,11.56149,-9.513727,0.0,0.01,0.01,0.0
blue,9.850877,-6.526781,0.0,0.01,0.01,0.0
yellow,9.849332,-9.526745,0.0,0.01,0.01,0.0
blue,8.202765,-6.500373,0.0,0.01,0.01,0.0
yellow,8.098127,-9.498547,0.0,0.01,0.01,0.0
blue,6.407849,-6.515731,0.0,0.01,0.01,0.0
yellow,6.49403,-9.514491,0.0,0.01,0.01,0.0
blue,4.71948,-6.57222,0.0,0.01,0.01,0.0
yellow,4.784315,-9.571507,0.0,0.01,0.01,0.0
blue,3.145468,-6.551782,0.0,0.01,0.01,0.0
yellow,2.959647,-9.545983,0.0,0.01,0.01,0.0
blue,1.746531,-6.351077,0.0,0.01,0.01,0.0
yellow,0.9992856,-9.256391,0.0,0.01,0.01,0.0
blue,0.7652612,-5.920299,0.0,0.01,0.01,0.0
yellow,-1.087284,-8.279549,0.0,0.01,0.01,0.0
blue,0.1505041,-5.185045,0.0,0.01,0.01,0.0
yellow,-2.592546,-6.39682,0.0,0.01,0.01,0.0
blue,0.2344649,-4.922377,0.0,0.01,0.01,0.0
yellow,-2.363926,-3.424207,0.0,0.01,0.01,0.0
blue,0.9523565,-4.112127,0.0,0.01,0.01,0.0
yellow,-0.8389496,-1.70709,0.0,0.01,0.01,0.0
blue,1.962253,-3.726687,0.0,0.01,0.01,0.0
yellow,1.27315,-0.8069972,0.0,0.01,0.01,0.0
blue,3.474592,-3.468724,0.0,0.01,0.01,0.0
yellow,3.11064,-0.4909632,0.0,0.01,0.01,0.0
blue,4.971986,-3.408813,0.0,0.01,0.01,0.0
yellow,5.007768,-0.4090528,0.0,0.01,0.01,0.0
blue,6.637001,-3.463063,0.0,0.01,0.01,0.0
yellow,6.740854,-0.4648628,0.0,0.01,0.01,0.0
blue,8.378223,-3.499551,0.0,0.01,0.01,0.0
yellow,8.398441,-0.4996246,0.0,0.01,0.01,0.0
blue,10.08106,-3.499677,0.0,0.01,0.01,0.0
yellow,10.09561,-0.4997299,0.0,0.01,0.01,0.0
blue,11.78388,-3.499803,0.0,0.01,0.01,0.0
yellow,11.79277,-0.499835,0.0,0.01,0.01,0.0
blue,13.48672,-3.499928,0.0,0.01,0.01,0.0
yellow,13.48994,-0.4999403,0.0,0.01,0.01,0.0
blue,15.18764,-3.505597,0.0,0.01,0.01,0.0
yellow,15.18896,-0.5055988,0.0,0.01,0.01,0.0
blue,16.88605,-3.518576,0.0,0.01,0.01,0.0
yellow,16.89045,-0.5185807,0.0,0.01,0.01,0.0
blue,18.59188,-3.527626,0.0,0.01,0.01,0.0
yellow,18.58453,-0.5276694,0.0,0.01,0.01,0.0
blue,20.33933,-3.500722,0.0,0.01,0.01,0.0
yellow,20.2365,-0.5024877,0.0,0.01,0.01,0.0
blue,21.9308,-3.530338,0.0,0.01,0.01,0.0
yellow,22.04334,-0.5324563,0.0,0.01,0.01,0.0
blue,23.65697,-3.598606,0.0,0.01,0.01,0.0
yellow,23.71435,-0.5991855,0.0,0.01,0.01,0.0
blue,25.54894,-3.529969,0.0,0.01,0.01,0.0
yellow,25.2179,-0.548383,0.0,0.01,0.01,0.0
blue,27.64678,-2.99064,0.0,0.01,0.01,0.0
yellow,26.40332,-0.260592,0.0,0.01,0.01,0.0
blue,29.48863,-1.582211,0.0,0.01,0.01,0.0
yellow,27.23191,0.394243,0.0,0.01,0.01,0.0
blue,30.61991,0.7157594,0.0,0.01,0.01,0.0
yellow,27.64351,1.072329,0.0,0.01,0.01,0.0
blue,29.61567,3.416555,0.0,0.01,0.01,0.0
yellow,27.38251,1.413749,0.0,0.01,0.01,0.0
blue,27.91333,4.774024,0.0,0.01,0.01,0.0
yellow,26.43465,2.16381,0.0,0.01,0.01,0.0
blue,25.75099,5.456471,0.0,0.01,0.01,0.0
yellow,25.37175,2.480673,0.0,0.01,0.01,0.0
blue,23.84129,5.538531,0.0,0.01,0.01,0.0
yellow,23.88726,2.538902,0.0,0.01,0.01,0.0
blue,22.14541,5.494133,0.0,0.01,0.01,0.0
yellow,22.18435,2.494398,0.0,0.01,0.01,0.0
blue,20.4887,5.525844,0.0,0.01,0.01,0.0
yellow,20.44197,2.526242,0.0,0.01,0.01,0.0
blue,18.75949,5.534084,0.0,0.01,0.01,0.0
yellow,18.77128,2.534107,0.0,0.01,0.01,0.0
blue,17.05999,5.519393,0.0,0.01,0.01,0.0
yellow,17.07091,2.519413,0.0,0.01,0.01,0.0
blue,15.3605,5.504703,0.0,0.01,0.01,0.0
yellow,15.37054,2.50472,0.0,0.01,0.01,0.0
blue,13.66429,5.499892,0.0,0.01,0.01,0.0
yellow,13.66677,2.499899,0.0,0.01,0.01,0.0
blue,11.96199,5.499691,0.0,0.01,0.01,0.0
yellow,11.96909,2.499711,0.0,0.01,0.01,0.0
blue,10.25968,5.49949,0.0,0.01,0.01,0.0
yellow,10.27141,2.499523,0.0,0.01,0.01,0.0
blue,8.557373,5.49929,0.0,0.01,0.01,0.0
yellow,8.573725,2.499335,0.0,0.01,0.01,0.0
blue,6.853613,5.47529,0.0,0.01,0.01,0.0
yellow,6.877858,2.475397,0.0,0.01,0.01,0.0
blue,5.15646,5.451069,0.0,0.01,0.01,0.0
yellow,5.175394,2.451157,0.0,0.01,0.01,0.0
blue,3.524963,5.470642,0.0,0.01,0.01,0.0
yellow,3.407457,2.472963,0.0,0.01,0.01,0.0
blue,1.797132,5.53206,0.0,0.01,0.01,0.0
yellow,1.737962,2.532647,0.0,0.01,0.01,0.0
blue,0.2987953,5.620685,0.0,0.01,0.01,0.0
yellow,-0.1543653,2.655234,0.0,0.01,0.01,0.0
blue,-0.5785224,5.944499,0.0,0.01,0.01,0.0
yellow,-2.402058,3.56279,0.0,0.01,0.01,0.0
blue,-1.308592,6.760839,0.0,0.01,0.01,0.0
yellow,-3.913738,5.274508,0.0,0.01,0.01,0.0
blue,-1.39762,7.0307,0.0,0.01,0.01,0.0
yellow,-4.140427,8.244469,0.0,0.01,0.01,0.0
blue,-0.744753,7.806924,0.0,0.01,0.01,0.0
yellow,-2.681155,10.09793,0.0,0.01,0.01,0.0
blue,0.1345779,8.275603,0.0,0.01,0.01,0.0
yellow,-0.5793665,11.18939,0.0,0.01,0.01,0.0
blue,1.531696,8.437706,0.0,0.01,0.01,0.0
yellow,1.393709,11.43451,0.0,0.01,0.01,0.0
blue,3.257644,8.510859,0.0,0.01,0.01,0.0
yellow,3.064492,11.50463,0.0,0.01,0.01,0.0
blue,4.860303,8.553554,0.0,0.01,0.01,0.0
yellow,4.860063,11.55355,0.0,0.01,0.01,0.0
blue,6.543498,8.530477,0.0,0.01,0.01,0.0
yellow,6.576489,11.53029,0.0,0.01,0.01,0.0
blue,8.247355,8.502235,0.0,0.01,0.01,0.0
yellow,8.272155,11.5021,0.0,0.01,0.01,0.0
blue,9.95412,8.499846,0.0,0.01,0.01,0.0
yellow,9.965369,11.49982,0.0,0.01,0.01,0.0
blue,11.65326,8.499425,0.0,0.01,0.01,0.0
yellow,11.66623,11.49939,0.0,0.01,0.01,0.0
blue,13.35238,8.499003,0.0,0.01,0.01,0.0
yellow,13.36708,11.49897,0.0,0.01,0.01,0.0
blue,15.05161,8.497525,0.0,0.01,0.01,0.0
yellow,15.06785,11.49748,0.0,0.01,0.01,0.0
blue,16.75214,8.480833,0.0,0.01,0.01,0.0
yellow,16.76714,11.48079,0.0,0.01,0.01,0.0
blue,18.45267,8.464141,0.0,0.01,0.01,0.0
yellow,18.46641,11.46411,0.0,0.01,0.01,0.0
blue,20.18119,8.469039,0.0,0.01,0.01,0.0
yellow,20.13779,11.46871,0.0,0.01,0.01,0.0
blue,21.85081,8.508317,0.0,0.01,0.01,0.0
yellow,21.86702,11.50825,0.0,0.01,0.01,0.0
blue,23.50557,8.452136,0.0,0.01,0.01,0.0
yellow,23.61018,11.45031,0.0,0.01,0.01,0.0
blue,25.32181,8.438681,0.0,0.01,0.01,0.0
yellow,25.19278,11.43586,0.0,0.01,0.01,0.0
blue,27.36337,8.748217,0.0,0.01,0.01,0.0
yellow,26.50609,11.62282,0.0,0.01,0.01,0.0
blue,29.4417,9.982633,0.0,0.01,0.01,0.0
yellow,27.31863,12.10172,0.0,0.01,0.01,0.0
blue,30.7221,12.00279,0.0,0.01,0.01,0.0
yellow,27.86457,12.91381,0.0,0.01,0.01,0.0
blue,30.20512,14.9233,0.0,0.01,0.01,0.0
yellow,27.75667,13.19087,0.0,0.01,0.01,0.0
blue,28.5961,16.46091,0.0,0.01,0.01,0.0
yellow,26.91007,13.97976,0.0,0.01,0.01,0.0
blue,26.51158,17.35113,0.0,0.01,0.01,0.0
yellow,25.89055,14.41613,0.0,0.01,0.01,0.0
blue,24.53734,17.54747,0.0,0.01,0.01,0.0
yellow,24.48586,14.54794,0.0,0.01,0.01,0.0
blue,22.77645,17.51729,0.0,0.01,0.01,0.0
yellow,22.84768,14.51814,0.0,0.01,0.01,0.0
blue,21.15735,17.50321,0.0,0.01,0.01,0.0
yellow,21.06779,14.50455,0.0,0.01,0.01,0.0
blue,19.42025,17.53239,0.0,0.01,0.01,0.0
yellow,19.40551,14.53245,0.0,0.01,0.01,0.0
blue,17.7071,17.52685,0.0,0.01,0.01,0.0
yellow,17.71876,14.52687,0.0,0.01,0.01,0.0
blue,16.00769,17.51238,0.0,0.01,0.01,0.0
yellow,16.01827,14.5124,0.0,0.01,0.01,0.0
blue,14.30486,17.49946,0.0,0.01,0.01,0.0
yellow,14.32119,14.49952,0.0,0.01,0.01,0.0
blue,12.59832,17.47613,0.0,0.01,0.01,0.0
yellow,12.62811,14.47628,0.0,0.01,0.01,0.0
blue,10.89581,17.44691,0.0,0.01,0.01,0.0
yellow,10.93116,14.44712,0.0,0.01,0.01,0.0
blue,9.235472,17.44289,0.0,0.01,0.01,0.0
yellow,9.191622,14.44323,0.0,0.01,0.01,0.0
blue,7.589136,17.51162,0.0,0.01,0.01,0.0
yellow,7.441372,14.5153,0.0,0.01,0.01,0.0
blue,5.809601,17.52532,0.0,0.01,0.01,0.0
yellow,5.821574,14.52534,0.0,0.01,0.01,0.0
blue,4.15097,17.52303,0.0,0.01,0.01,0.0
yellow,4.080378,14.52387,0.0,0.01,0.01,0.0
blue,2.651351,17.63947,0.0,0.01,0.01,0.0
yellow,2.192873,14.67475,0.0,0.01,0.01,0.0
blue,1.461888,17.9786,0.0,0.01,0.01,0.0
yellow,0.1326988,15.28955,0.0,0.01,0.01,0.0
blue,0.8711742,18.49831,0.0,0.01,0.01,0.0
yellow,-1.743577,17.02814,0.0,0.01,0.01,0.0
blue,0.5196092,19.63735,0.0,0.01,0.01,0.0
yellow,-2.433459,19.1091,0.0,0.01,0.01,0.0
blue,0.3270568,21.21391,0.0,0.01,0.01,0.0
yellow,-2.657098,20.90597,0.0,0.01,0.01,0.0
blue,0.1140594,22.9959,0.0,0.01,0.01,0.0
yellow,-2.844539,22.49956,0.0,0.01,0.01,0.0
blue,-0.5154185,25.05451,0.0,0.01,0.01,0.0
yellow,-3.184976,23.68587,0.0,0.01,0.01,0.0
blue,-2.075313,26.82025,0.0,0.01,0.01,0.0
yellow,-3.880057,24.42402,0.0,0.01,0.01,0.0
blue,-3.867439,27.84673,0.0,0.01,0.01,0.0
yellow,-5.03158,25.08198,0.0,0.01,0.01,0.0
blue,-6.00108,28.37929,0.0,0.01,0.01,0.0
yellow,-6.177363,25.38474,0.0,0.01,0.01,0.0
blue,-8.21226,28.06349,0.0,0.01,0.01,0.0
yellow,-7.311199,25.20217,0.0,0.01,0.01,0.0
blue,-10.09993,27.19528,0.0,0.01,0.01,0.0
yellow,-8.504773,24.65476,0.0,0.01,0.01,0.0
blue,-11.78507,25.62565,0.0,0.01,0.01,0.0
yellow,-9.303799,23.93984,0.0,0.01,0.01,0.0
blue,-12.6777,23.64299,0.0,0.01,0.01,0.0
yellow,-9.789778,22.83084,0.0,0.01,0.01,0.0
blue,-13.03012,21.72491,0.0,0.01,0.01,0.0
yellow,-10.04691,21.40806,0.0,0.01,0.01,0.0
blue,-13.1392,19.90714,0.0,0.01,0.01,0.0
yellow,-10.14015,19.83277,0.0,0.01,0.01,0.0
blue,-13.15474,18.18133,0.0,0.01,0.01,0.0
yellow,-10.15482,18.15882,0.0,0.01,0.01,0.0
blue,-13.17701,16.52994,0.0,0.01,0.01,0.0
yellow,-10.17941,16.41078,0.0,0.01,0.01,0.0
blue,-13.29276,14.87344,0.0,0.01,0.01,0.0
yellow,-10.29932,14.67575,0.0,0.01,0.01,0.0
blue,-13.38279,13.14025,0.0,0.01,0.01,0.0
yellow,-10.38551,13.01361,0.0,0.01,0.01,0.0
blue,-13.43798,11.42786,0.0,0.01,0.01,0.0
yellow,-10.4397,11.32785,0.0,0.01,0.01,0.0
blue,-13.48475,9.721461,0.0,0.01,0.01,0.0
yellow,-10.48606,9.635543,0.0,0.01,0.01,0.0
blue,-13.53152,8.015052,0.0,0.01,0.01,0.0
yellow,-10.53241,7.943223,0.0,0.01,0.01,0.0
blue,-13.56532,6.31245,0.0,0.01,0.01,0.0
yellow,-10.56604,6.246543,0.0,0.01,0.01,0.0
blue,-13.59171,4.612038,0.0,0.01,0.01,0.0
yellow,-10.59241,4.547391,0.0,0.01,0.01,0.0
blue,-13.61811,2.91161,0.0,0.01,0.01,0.0
yellow,-10.61878,2.848223,0.0,0.01,0.01,0.0
blue,-13.64705,1.215924,0.0,0.01,0.01,0.0
yellow,-10.64794,1.144421,0.0,0.01,0.01,0.0
blue,-13.70985,-0.4263068,0.0,0.01,0.01,0.0
yellow,-10.71554,-0.610513,0.0,0.01,0.01,0.0
blue,-13.82588,-2.118713,0.0,0.01,0.01,0.0
yellow,-10.83199,-2.310127,0.0,0.01,0.01,0.0
blue,-13.91899,-3.868823,0.0,0.01,0.01,0.0
yellow,-10.92024,-3.954901,0.0,0.01,0.01,0.0
blue,-13.88756,-5.705969,0.0,0.01,0.01,0.0
yellow,-10.8936,-5.515828,0.0,0.01,0.01,0.0
blue,-13.77768,-7.442093,0.0,0.01,0.01,0.0
yellow,-10.78981,-7.172813,0.0,0.01,0.01,0.0
blue,-13.45904,-9.373876,0.0,0.01,0.01,0.0
yellow,-10.5626,-8.592607,0.0,0.01,0.01,0.0
blue,-12.4734,-11.39717,0.0,0.01,0.01,0.0
yellow,-10.06824,-9.604146,0.0,0.01,0.01,0.0
blue,-11.10273,-12.86398,0.0,0.01,0.01,0.0
yellow,-9.118312,-10.61416,0.0,0.01,0.01,0.0
blue,-9.543593,-14.02694,0.0,0.01,0.01,0.0
yellow,-7.955293,-11.48195,0.0,0.01,0.01,0.0
blue,-7.710163,-14.91718,0.0,0.01,0.01,0.0
yellow,-6.739441,-12.07866,0.0,0.01,0.01,0.0
blue,-5.778424,-15.36134,0.0,0.01,0.01,0.0
yellow,-5.361503,-12.39049,0.0,0.01,0.01,0.0
blue,-3.933628,-15.51622,0.0,0.01,0.01,0.0
yellow,-3.819539,-12.51841,0.0,0.01,0.01,0.0
blue,-2.160993,-15.5335,0.0,0.01,0.01,0.0
yellow,-2.192684,-12.53367,0.0,0.01,0.01,0.0
blue,-0.4583029,-15.50195,0.0,0.01,0.01,0.0
yellow,-0.4959787,-12.50219,0.0,0.01,0.01,0.0
blue,1.190119,-15.49292,0.0,0.01,0.01,0.0
yellow,1.255254,-12.49363,0.0,0.01,0.01,0.0
blue,2.907752,-15.52807,0.0,0.01,0.01,0.0
yellow,2.936806,-12.52826,0.0,0.01,0.01,0.0
blue,4.618753,-15.52548,0.0,0.01,0.01,0.0
yellow,4.625751,-12.5255,0.0,0.01,0.01,0.0
blue,6.320954,-15.51483,0.0,0.01,0.01,0.0
yellow,6.323517,-12.51484,0.0,0.01,0.01,0.0
blue,8.023155,-15.50417,0.0,0.01,0.01,0.0
yellow,8.021282,-12.50417,0.0,0.01,0.01,0.0
big_orange,20.14,-12.53319,0.0,0.01,0.01,0.0
big_orange,19.58,-12.53319,0.0,0.01,0.01,0.0
big_orange,20.14,-15.52,0.0,0.01,0.01,0.0
big_orange,19.58,-15.52,0.0,0.01,0.01,0.0
