tag,x,y,direction,x_variance,y_variance,xy_covariance
blue,-45.0,1.5,0.0,0.01,0.01,0.0
blue,-40.0,1.5,0.0,0.01,0.01,0.0
blue,-35.0,1.5,0.0,0.01,0.01,0.0
blue,-30.0,1.5,0.0,0.01,0.01,0.0
blue,-25.0,1.5,0.0,0.01,0.01,0.0
blue,-20.0,1.5,0.0,0.01,0.01,0.0
blue,-15.0,1.5,0.0,0.01,0.01,0.0
blue,-10.0,1.5,0.0,0.01,0.01,0.0
blue,-5.0,1.5,0.0,0.01,0.01,0.0
blue,0.0,1.5,0.0,0.01,0.01,0.0
blue,5.0,1.5,0.0,0.01,0.01,0.0
blue,10.0,1.5,0.0,0.01,0.01,0.0
blue,15.0,1.5,0.0,0.01,0.01,0.0
blue,20.0,1.5,0.0,0.01,0.01,0.0
yellow,-45.0,-1.5,0.0,0.01,0.01,0.0
yellow,-40.0,-1.5,0.0,0.01,0.01,0.0
yellow,-35.0,-1.5,0.0,0.01,0.01,0.0
yellow,-30.0,-1.5,0.0,0.01,0.01,0.0
yellow,-25.0,-1.5,0.0,0.01,0.01,0.0
yellow,-20.0,-1.5,0.0,0.01,0.01,0.0
yellow,-15.0,-1.5,0.0,0.01,0.01,0.0
yellow,-10.0,-1.5,0.0,0.01,0.01,0.0
yellow,-5.0,-1.5,0.0,0.01,0.01,0.0
yellow,0.0,-1.5,0.0,0.01,0.01,0.0
yellow,5.0,-1.5,0.0,0.01,0.01,0.0
yellow,10.0,-1.5,0.0,0.01,0.01,0.0
yellow,15.0,-1.5,0.0,0.01,0.01,0.0
yellow,20.0,-1.5,0.0,0.01,0.01,0.0
big_orange,-50.0,1.5,0.0,0.01,0.01,0.0
big_orange,-50.0,-1.5,0.0,0.01,0.01,0.0
big_orange,-50.5,1.5,0.0,0.01,0.01,0.0
big_orange,-50.5,-1.5,0.0,0.01,0.01,0.0
big_orange,25.0,1.5,0.0,0.01,0.01,0.0
big_orange,25.0,-1.5,0.0,0.01,0.01,0.0
orange,30.0,1.5,0.0,0.01,0.01,0.0
orange,30.0,-1.5,0.0,0.01,0.01,0.0
orange,35.0,1.5,0.0,0.01,0.01,0.0
orange,35.0,-1.5,0.0,0.01,0.01,0.0
orange,40.0,1.5,0.0,0.01,0.01,0.0
orange,40.0,-1.5,0.0,0.01,0.01,0.0
orange,45.0,1.5,0.0,0.01,0.01,0.0
orange,45.0,-1.5,0.0,0.01,0.01,0.0
orange,50.0,1.5,0.0,0.01,0.01,0.0
orange,50.0,-1.5,0.0,0.01,0.01,0.0
orange,50.0,0.75,0.0,0.01,0.01,0.0
orange,50.0,-0.75,0.0,0.01,0.01,0.0
car_start,-53.0,0.0,0.0,0.0,0.0,0.0
