tag,x,y,direction,x_variance,y_variance,xy_covariance
car_start,9.757093,74.00039,-0.005649097,0.01,0.01,0.0
blue,-12.56258,-47.72453,0.0,0.01,0.01,0.0
yellow,-9.660934,-46.96266,0.0,0.01,0.01,0.0
blue,-12.1204,-49.38686,0.0,0.01,0.01,0.0
yellow,-9.229265,-48.58609,0.0,0.01,0.01,0.0
blue,-11.60989,-51.0855,0.0,0.01,0.01,0.0
yellow,-8.761692,-50.14335,0.0,0.01,0.01,0.0
blue,-10.96559,-52.79916,0.0,0.01,0.01,0.0
yellow,-8.210728,-51.6115,0.0,0.01,0.01,0.0
blue,-10.08484,-54.50849,0.0,0.01,0.01,0.0
yellow,-7.538102,-52.92299,0.0,0.01,0.01,0.0
blue,-8.764315,-56.13889,0.0,0.01,0.01,0.0
yellow,-6.732079,-53.93229,0.0,0.01,0.01,0.0
blue,-7.042822,-57.32252,0.0,0.01,0.01,0.0
yellow,-5.655148,-54.66281,0.0,0.01,0.01,0.0
blue,-5.253563,-58.06873,0.0,0.01,0.01,0.0
yellow,-4.308704,-55.22142,0.0,0.01,0.01,0.0
blue,-3.468813,-58.5559,0.0,0.01,0.01,0.0
yellow,-2.814566,-55.62814,0.0,0.01,0.01,0.0
blue,-1.705197,-58.88723,0.0,0.01,0.01,0.0
yellow,-1.237133,-55.924,0.0,0.01,0.01,0.0
blue,0.03300017,-59.12571,0.0,0.01,0.01,0.0
yellow,0.3929496,-56.1474,0.0,0.01,0.01,0.0
blue,1.726769,-59.31633,0.0,0.01,0.01,0.0
yellow,2.07785,-56.33695,0.0,0.01,0.01,0.0
blue,3.41739,-59.51168,0.0,0.01,0.01,0.0
yellow,3.76472,-56.53186,0.0,0.01,0.01,0.0
blue,5.215779,-59.65288,0.0,0.01,0.01,0.0
yellow,5.355271,-56.65614,0.0,0.01,0.01,0.0
blue,6.978661,-59.69427,0.0,0.01,0.01,0.0
yellow,6.991185,-56.69431,0.0,0.01,0.01,0.0
blue,8.716159,-59.6763,0.0,0.01,0.01,0.0
yellow,8.653388,-56.677,0.0,0.01,0.01,0.0
blue,10.42339,-59.62502,0.0,0.01,0.01,0.0
yellow,10.34457,-56.62605,0.0,0.01,0.01,0.0
blue,12.12382,-59.56864,0.0,0.01,0.01,0.0
yellow,12.04227,-56.56975,0.0,0.01,0.01,0.0
blue,13.8158,-59.51684,0.0,0.01,0.01,0.0
yellow,13.74868,-56.51762,0.0,0.01,0.01,0.0
blue,15.49428,-59.50181,0.0,0.01,0.01,0.0
yellow,15.46992,-56.50193,0.0,0.01,0.01,0.0
blue,17.19112,-59.50156,0.0,0.01,0.01,0.0
yellow,17.17308,-56.50166,0.0,0.01,0.01,0.0
blue,18.88795,-59.5013,0.0,0.01,0.01,0.0
yellow,18.87624,-56.50139,0.0,0.01,0.01,0.0
blue,20.58479,-59.50105,0.0,0.01,0.01,0.0
yellow,20.57941,-56.50112,0.0,0.01,0.01,0.0
blue,22.28164,-59.50079,0.0,0.01,0.01,0.0
yellow,22.28257,-56.50085,0.0,0.01,0.01,0.0
blue,23.97847,-59.50054,0.0,0.01,0.01,0.0
yellow,23.98573,-56.50058,0.0,0.01,0.01,0.0
blue,25.67531,-59.50028,0.0,0.01,0.01,0.0
yellow,25.68889,-56.50031,0.0,0.01,0.01,0.0
blue,27.34403,-59.53819,0.0,0.01,0.01,0.0
yellow,27.41914,-56.53913,0.0,0.01,0.01,0.0
blue,29.04847,-59.58916,0.0,0.01,0.01,0.0
yellow,29.11316,-56.58988,0.0,0.01,0.01,0.0
blue,30.82583,-59.58925,0.0,0.01,0.01,0.0
yellow,30.7354,-56.59063,0.0,0.01,0.01,0.0
blue,32.65911,-59.44119,0.0,0.01,0.01,0.0
yellow,32.28939,-56.46407,0.0,0.01,0.01,0.0
blue,34.4763,-59.14628,0.0,0.01,0.01,0.0
yellow,33.82742,-56.21737,0.0,0.01,0.01,0.0
blue,36.48877,-58.42164,0.0,0.01,0.01,0.0
yellow,35.00833,-55.81258,0.0,0.01,0.01,0.0
blue,38.13216,-57.29226,0.0,0.01,0.01,0.0
yellow,36.16722,-55.0256,0.0,0.01,0.01,0.0
blue,39.49893,-54.71618,0.0,0.01,0.01,0.0
yellow,36.50066,-54.77789,0.0,0.01,0.01,0.0
blue,38.03924,-52.19432,0.0,0.01,0.01,0.0
yellow,36.16391,-54.53566,0.0,0.01,0.01,0.0
blue,36.28282,-51.12715,0.0,0.01,0.01,0.0
yellow,35.01768,-53.84694,0.0,0.01,0.01,0.0
blue,34.14883,-50.59542,0.0,0.01,0.01,0.0
