tag,x,y,direction,x_variance,y_variance,xy_covariance
yellow,58.8457931083,8.29495250737,0.0,0,0,0
blue,56.8457931083,14.2949525074,0.0,0,0,0
yellow,62.8640660505,8.41946579422,0.0,0,0,0
blue,60.8640660505,14.4194657942,0.0,0,0,0
yellow,63.4459179142,8.43396762816,0.0,0,0,0
blue,61.4459179142,14.4339676282,0.0,0,0,0
yellow,63.346182311,8.42850317041,0.0,0,0,0
blue,63.346182311,14.4285031704,0.0,0,0,0
blue,67.3572559385,14.3727334595,0.0,0,0,0
yellow,67.4718580422,8.37114003924,0.0,0,0,0
blue,71.3683295661,14.3169637487,0.0,0,0,0
yellow,71.4829316697,8.31537032838,0.0,0,0,0
blue,75.3794031936,14.2611940378,0.0,0,0,0
yellow,75.4940052972,8.25960061751,0.0,0,0,0
blue,79.3904768211,14.205424327,0.0,0,0,0
yellow,79.5050789248,8.20383090665,0.0,0,0,0
blue,83.4015504487,14.1496546161,0.0,0,0,0
yellow,83.5161525523,8.14806119578,0.0,0,0,0
blue,87.4126240762,14.0938849052,0.0,0,0,0
yellow,87.5272261799,8.09229148492,0.0,0,0,0
blue,91.4236977038,14.0381151944,0.0,0,0,0
yellow,91.5382998074,8.03652177405,0.0,0,0,0
blue,95.4347713313,13.9823454835,0.0,0,0,0
yellow,95.549373435,7.98075206319,0.0,0,0,0
blue,99.4458449589,13.9265757726,0.0,0,0,0
yellow,99.5604470625,7.92498235233,0.0,0,0,0
yellow,103.665151918,7.86791079887,0.0,0,0,0
blue,103.665151918,13.8679107989,0.0,0,0,0
yellow,107.720407945,8.04502275791,0.0,0,0,0
blue,107.877181411,14.4055221868,0.0,0,0,0
yellow,112.992957421,8.95790203377,0.0,0,0,0
blue,111.853819387,16.0448366449,0.0,0,0,0
yellow,117.033844379,10.6190041313,0.0,0,0,0
yellow,121.012120821,13.4514966942,0.0,0,0,0
blue,115.713191389,17.9749398622,0.0,0,0,0
yellow,124.316401522,16.3097753091,0.0,0,0,0
blue,118.912741211,20.9499875138,0.0,0,0,0
yellow,127.057215718,20.7121223123,0.0,0,0,0
blue,121.75588841,23.8229705265,0.0,0,0,0
yellow,129.784289235,23.7527434048,0.0,0,0,0
blue,122.635566513,27.7669327242,0.0,0,0,0
yellow,131.302866261,28.8493214164,0.0,0,0,0
yellow,131.33369453,28.9589166481,0.0,0,0,0
blue,123.33369453,28.9589166481,0.0,0,0,0
yellow,132.443512212,32.9043449892,0.0,0,0,0
blue,124.443512212,32.9043449892,0.0,0,0,0
yellow,133.553329894,36.8497733303,0.0,0,0,0
blue,125.553329894,36.8497733303,0.0,0,0,0
yellow,134.663147576,40.7952016714,0.0,0,0,0
blue,126.663147576,40.7952016714,0.0,0,0,0
yellow,135.772965258,44.7406300125,0.0,0,0,0
blue,127.772965258,44.7406300125,0.0,0,0,0
yellow,136.88278294,48.6860583536,0.0,0,0,0
blue,128.88278294,48.6860583536,0.0,0,0,0
yellow,137.992600622,52.6314866947,0.0,0,0,0
blue,129.992600622,52.6314866947,0.0,0,0,0
yellow,139.102418304,56.5769150358,0.0,0,0,0
blue,131.102418304,56.5769150358,0.0,0,0,0
yellow,140.212235986,60.5223433769,0.0,0,0,0
blue,132.212235986,60.5223433769,0.0,0,0,0
yellow,141.322053668,64.467771718,0.0,0,0,0
blue,133.322053668,64.467771718,0.0,0,0,0
yellow,142.116375603,67.3058449825,0.0,0,0,0
blue,134.116375603,67.3058449825,0.0,0,0,0
yellow,142.477445622,71.4978327431,0.0,0,0,0
blue,134.279303286,71.4187810742,0.0,0,0,0
yellow,141.912786499,75.8760400711,0.0,0,0,0
yellow,139.291971999,79.1325030922,0.0,0,0,0
blue,132.493761201,75.1436076356,0.0,0,0,0
yellow,137.104535179,82.4850076257,0.0,0,0,0
yellow,133.759513172,84.989462183,0.0,0,0,0
blue,128.9743775,77.3380332482,0.0,0,0,0
yellow,129.709319972,85.9971718955,0.0,0,0,0
yellow,129.016211537,86.1062198615,0.0,0,0,0
blue,127.016211537,78.1062198615,0.0,0,0,0
yellow,125.043756221,86.6642706393,0.0,0,0,0
blue,123.043756221,78.6642706393,0.0,0,0,0
yellow,121.071300905,87.2223214172,0.0,0,0,0
blue,119.071300905,79.2223214172,0.0,0,0,0
yellow,117.098845589,87.780372195,0.0,0,0,0
blue,115.098845589,79.780372195,0.0,0,0,0
yellow,113.126390274,88.3384229729,0.0,0,0,0
blue,111.126390274,80.3384229729,0.0,0,0,0
yellow,109.198752394,88.8893976904,0.0,0,0,0
blue,107.198752394,80.8893976904,0.0,0,0,0
yellow,105.15775346,88.9816681719,0.0,0,0,0
blue,103.167413345,80.7239417737,0.0,0,0,0
yellow,100.621729656,88.342233381,0.0,0,0,0
blue,99.5009342937,79.0263397229,0.0,0,0,0
yellow,96.9617828818,85.7137321165,0.0,0,0,0
yellow,93.4210659122,83.8009705649,0.0,0,0,0
blue,96.2611236849,76.6116932514,0.0,0,0,0
yellow,91.1127941196,80.1374396623,0.0,0,0,0
yellow,88.4744599376,77.0947588584,0.0,0,0,0
blue,94.4485946206,73.0305190702,0.0,0,0,0
yellow,87.6072252569,73.1785811604,0.0,0,0,0
blue,90.568678866,68.9744353446,0.0,0,0,0
blue,90.8689091248,64.9185363194,0.0,0,0,0
yellow,85.7758854907,69.6129009513,0.0,0,0,0
blue,87.3221000547,62.3945158469,0.0,0,0,0
blue,83.3891044989,59.9956448527,0.0,0,0,0
yellow,82.203072399,67.7230904462,0.0,0,0,0
blue,79.408758737,59.5825001797,0.0,0,0,0
yellow,78.4031631572,68.061922813,0.0,0,0,0
blue,76.4031631572,60.061922813,0.0,0,0,0
blue,72.2557115646,61.2852625776,0.0,0,0,0
yellow,74.6048548011,70.1793646599,0.0,0,0,0
blue,68.0407905943,64.2178490096,0.0,0,0,0
yellow,73.9476450419,70.2846328939,0.0,0,0,0
blue,67.9476450419,64.2846328939,0.0,0,0,0
yellow,70.6875507059,72.6220688453,0.0,0,0,0
blue,64.6875507059,66.6220688453,0.0,0,0,0
yellow,67.4274563699,74.9595047967,0.0,0,0,0
blue,61.4274563699,68.9595047967,0.0,0,0,0
yellow,64.167362034,77.296940748,0.0,0,0,0
blue,58.167362034,71.296940748,0.0,0,0,0
yellow,60.907267698,79.6343766994,0.0,0,0,0
blue,54.907267698,73.6343766994,0.0,0,0,0
yellow,57.647173362,81.9718126508,0.0,0,0,0
blue,51.647173362,75.9718126508,0.0,0,0,0
yellow,54.3870790261,84.3092486022,0.0,0,0,0
blue,48.3870790261,78.3092486022,0.0,0,0,0
yellow,51.1269846901,86.6466845536,0.0,0,0,0
blue,45.1269846901,80.6466845536,0.0,0,0,0
yellow,47.8668903541,88.984120505,0.0,0,0,0
blue,41.8668903541,82.984120505,0.0,0,0,0
yellow,44.6067960182,91.3215564563,0.0,0,0,0
blue,38.6067960182,85.3215564563,0.0,0,0,0
yellow,41.369398626,93.6427190589,0.0,0,0,0
blue,35.369398626,87.6427190589,0.0,0,0,0
yellow,37.8858958567,95.9590892247,0.0,0,0,0
yellow,33.7521876897,96.6536472487,0.0,0,0,0
blue,31.3502506585,88.6763999704,0.0,0,0,0
yellow,29.7472288081,96.4727096267,0.0,0,0,0
yellow,25.7195024392,95.4071530775,0.0,0,0,0
blue,27.5419839085,87.3122415306,0.0,0,0,0
yellow,22.5626523007,92.9356878248,0.0,0,0,0
yellow,20.4660615105,89.5052876967,0.0,0,0,0
blue,24.7843466023,84.273120073,0.0,0,0,0
yellow,18.089816859,85.3865969894,0.0,0,0,0
blue,23.7044764328,80.4009598616,0.0,0,0,0
yellow,17.707548228,81.1996849388,0.0,0,0,0
yellow,18.2437864456,77.0350386239,0.0,0,0,0
blue,25.3278481581,76.6597443867,0.0,0,0,0
yellow,20.887409046,72.8235239624,0.0,0,0,0
yellow,21.2887461937,72.3094512555,0.0,0,0,0
blue,25.2887461937,76.3094512555,0.0,0,0,0
yellow,23.8110154151,69.1870834492,0.0,0,0,0
blue,27.8110154151,73.1870834492,0.0,0,0,0
yellow,26.3332846365,66.0647156429,0.0,0,0,0
blue,30.3332846365,70.0647156429,0.0,0,0,0
yellow,28.8555538579,62.9423478366,0.0,0,0,0
blue,32.8555538579,66.9423478366,0.0,0,0,0
yellow,31.3778230793,59.8199800303,0.0,0,0,0
blue,35.3778230793,63.8199800303,0.0,0,0,0
yellow,31.9199848019,59.1496424597,0.0,0,0,0
blue,35.9199848019,63.1496424597,0.0,0,0,0
blue,38.3858187355,59.944742754,0.0,0,0,0
yellow,33.4328754554,55.4173876398,0.0,0,0,0
blue,39.5310844457,56.0777501712,0.0,0,0,0
blue,40.0299384177,51.3217826951,0.0,0,0,0
yellow,33.8850765946,51.3841904505,0.0,0,0,0
blue,39.4207553458,46.316372633,0.0,0,0,0
yellow,32.2812828545,47.637081137,0.0,0,0,0
blue,36.9688951409,43.1030590311,0.0,0,0,0
blue,35.0071325719,39.6065057033,0.0,0,0,0
yellow,29.7563337719,44.4873514064,0.0,0,0,0
blue,31.5300056567,37.6202697804,0.0,0,0,0
blue,28.3311352733,35.1368579598,0.0,0,0,0
yellow,26.0501045279,42.796982076,0.0,0,0,0
blue,24.3028182405,34.5363781806,0.0,0,0,0
yellow,22.0262465261,42.3340250168,0.0,0,0,0
blue,20.2742686408,33.9422730237,0.0,0,0,0
yellow,18.0599239735,41.529031833,0.0,0,0,0
yellow,14.0179730505,38.8887140456,0.0,0,0,0
blue,16.8117011238,31.9328992829,0.0,0,0,0
yellow,11.0522325169,36.0694209621,0.0,0,0,0
yellow,8.59538335308,32.8073168841,0.0,0,0,0
blue,14.479469911,28.5783566129,0.0,0,0,0
yellow,7.48499455737,28.941288232,0.0,0,0,0
blue,13.0839365731,24.7992575031,0.0,0,0,0
yellow,7.00050633925,24.1341833407,0.0,0,0,0
blue,13.4484217208,20.7073072599,0.0,0,0,0
yellow,7.62200742543,19.0897097281,0.0,0,0,0
yellow,10.0914167355,15.8214835243,0.0,0,0,0
blue,15.2842271234,17.1526531836,0.0,0,0,0
yellow,12.056799242,12.2947030912,0.0,0,0,0
yellow,15.5364692674,10.2702070257,0.0,0,0,0
blue,17.8628835059,14.0661705375,0.0,0,0,0
yellow,18.7690891062,7.72403911215,0.0,0,0,0
blue,21.8840012838,13.1984065113,0.0,0,0,0
yellow,22.7738267852,7.07701902559,0.0,0,0,0
yellow,26.8289778711,7.04690555563,0.0,0,0,0
blue,25.9252488739,13.0857868292,0.0,0,0,0
yellow,30.8486382147,7.18947022553,0.0,0,0,0
blue,29.9449092174,13.2283514991,0.0,0,0,0
yellow,34.8682985582,7.33203489543,0.0,0,0,0
blue,33.964569561,13.370916169,0.0,0,0,0
yellow,38.8879589018,7.47459956534,0.0,0,0,0
blue,37.9842299046,13.5134808389,0.0,0,0,0
yellow,42.9076192454,7.61716423524,0.0,0,0,0
blue,42.0038902482,13.6560455088,0.0,0,0,0
yellow,46.9272795889,7.75972890514,0.0,0,0,0
blue,46.0235505917,13.7986101788,0.0,0,0,0
yellow,50.9469399325,7.90229357504,0.0,0,0,0
blue,50.0432109353,13.9411748487,0.0,0,0,0
yellow,54.9666002761,8.04485824495,0.0,0,0,0
blue,54.0628712789,14.0837395186,0.0,0,0,0
big_orange,56.4866566372,8.23269586394,0.0,0,0,0
big_orange,57.1866566372,8.23269586394,0.0,0,0,0
big_orange,54.4866566372,14.2326958639,0.0,0,0,0
big_orange,55.1866566372,14.2326958639,0.0,0,0,0
inactive_noise,5.0,64.0,0.0,0,0,0
inactive_noise,6.0,26.0,0.0,0,0,0
inactive_noise,6.0,60.0,0.0,0,0,0
inactive_noise,6.0,82.0,0.0,0,0,0
inactive_noise,7.0,13.0,0.0,0,0,0
inactive_noise,7.0,71.0,0.0,0,0,0
inactive_noise,8.0,68.0,0.0,0,0,0
inactive_noise,8.0,70.0,0.0,0,0,0
inactive_noise,9.0,69.0,0.0,0,0,0
inactive_noise,9.0,70.0,0.0,0,0,0
inactive_noise,10.0,48.0,0.0,0,0,0
inactive_noise,10.0,50.0,0.0,0,0,0
inactive_noise,11.0,52.0,0.0,0,0,0
inactive_noise,13.0,51.0,0.0,0,0,0
inactive_noise,14.0,17.0,0.0,0,0,0
inactive_noise,14.0,39.0,0.0,0,0,0
inactive_noise,14.0,81.0,0.0,0,0,0
inactive_noise,15.0,65.0,0.0,0,0,0
inactive_noise,15.0,94.0,0.0,0,0,0
inactive_noise,16.0,39.0,0.0,0,0,0
inactive_noise,19.0,20.0,0.0,0,0,0
