tag,x,y,direction,x_variance,y_variance,xy_covariance
blue,-16.7219,9.56934,0,0.01,0.01,0.0
blue,-12.7553,12.49,0,0.01,0.01,0.0
blue,-6.89062,13.0757,0,0.01,0.01,0.0
blue,9.62956,15.8379,0,0.01,0.01,0.0
blue,12.492,17.0404,0,0.01,0.01,0.0
blue,15.1389,16.5025,0,0.01,0.01,0.0
blue,19.5034,13.6361,0,0.01,0.01,0.0
blue,20.8922,11.7012,0,0.01,0.01,0.0
blue,17.5221,15.3812,0,0.01,0.01,0.0
blue,21.4761,8.79574,0,0.01,0.01,0.0
blue,20.9992,5.27662,0,0.01,0.01,0.0
blue,19.9925,2.24053,0,0.01,0.01,0.0
blue,19.0983,0.0,0,0.01,0.01,0.0
blue,17.1824,-3.23994,0,0.01,0.01,0.0
blue,11.114,-6.74408,0,0.01,0.01,0.0
blue,-4.06552,13.3637,0,0.01,0.01,0.0
blue,14.2831,-5.26437,0,0.01,0.01,0.0
blue,8.25363,-8.53889,0,0.01,0.01,0.0
blue,5.06185,-10.1551,0,0.01,0.01,0.0
blue,1.42086,-11.9634,0,0.01,0.01,0.0
blue,-2.4975,-14.0305,0,0.01,0.01,0.0
blue,-5.74864,-16.1217,0,0.01,0.01,0.0
blue,-9.34841,-17.1551,0,0.01,0.01,0.0
blue,-12.2114,-16.6459,0,0.01,0.01,0.0
blue,-14.4625,-14.9249,0,0.01,0.01,0.0
blue,-16.2427,-13.276,0,0.01,0.01,0.0
blue,-0.131239,13.3125,0,0.01,0.01,0.0
blue,-18.1431,-11.086,0,0.01,0.01,0.0
blue,-18.6174,-7.56085,0,0.01,0.01,0.0
blue,-18.9382,-5.15509,0,0.01,0.01,0.0
blue,-18.5558,-2.56017,0,0.01,0.01,0.0
blue,-18.1206,0.0,0,0.01,0.01,0.0
blue,-17.7841,3.04246,0,0.01,0.01,0.0
blue,-17.8432,6.27091,0,0.01,0.01,0.0
blue,-15.1864,11.7137,0,0.01,0.01,0.0
blue,3.50416,13.7245,0,0.01,0.01,0.0
blue,7.13676,14.727,0,0.01,0.01,0.0
yellow,-12.2184,7.60803,0,0.01,0.01,0.0
yellow,7.14787,9.92656,0,0.01,0.01,0.0
yellow,10.4312,10.799,0,0.01,0.01,0.0
yellow,12.9655,11.8014,0,0.01,0.01,0.0
yellow,14.9652,11.2833,0,0.01,0.01,0.0
yellow,16.6054,9.12035,0,0.01,0.01,0.0
yellow,-6.90998,8.44454,0,0.01,0.01,0.0
yellow,16.7063,6.10772,0,0.01,0.01,0.0
yellow,15.876,3.47906,0,0.01,0.01,0.0
yellow,15.106,1.5027,0,0.01,0.01,0.0
yellow,13.6765,0.0,0,0.01,0.01,0.0
yellow,9.41953,-2.84739,0,0.01,0.01,0.0
yellow,12.0732,-1.43122,0,0.01,0.01,0.0
yellow,7.26282,-3.9408,0,0.01,0.01,0.0
yellow,4.65159,-5.15509,0,0.01,0.01,0.0
yellow,1.78774,-6.66723,0,0.01,0.01,0.0
yellow,-1.97969,-8.56329,0,0.01,0.01,0.0
yellow,-4.01695,8.50322,0,0.01,0.01,0.0
yellow,-5.18123,-10.5555,0,0.01,0.01,0.0
yellow,-7.57043,-12.1125,0,0.01,0.01,0.0
yellow,-9.76388,-12.7081,0,0.01,0.01,0.0
yellow,-12.0338,-11.6718,0,0.01,0.01,0.0
yellow,-13.9298,-8.98291,0,0.01,0.01,0.0
yellow,-14.1575,-5.77329,0,0.01,0.01,0.0
yellow,-14.0043,-2.62998,0,0.01,0.01,0.0
yellow,-13.6087,0.0,0,0.01,0.01,0.0
yellow,-13.3478,3.05712,0,0.01,0.01,0.0
yellow,-0.059759,8.37591,0,0.01,0.01,0.0
yellow,-13.3455,5.78808,0,0.01,0.01,0.0
yellow,3.5151,8.6968,0,0.01,0.01,0.0
big_orange,-9.61314,13.0,0,0.01,0.01,0.0
big_orange,-9.99934,12.989,0,0.01,0.01,0.0
big_orange,-9.62148,8.39323,0,0.01,0.01,0.0
big_orange,-9.98667,8.39348,0,0.01,0.01,0.0
car_start,-13.0,10.3,0.0,0.0,0.0,0.0
