tag,x,y,direction,x_variance,y_variance,xy_covariance
blue,-2.216,2.9131,0,0.01,0.01,0.0
yellow,2.2169,2.9131,0,0.01,0.01,0.0
blue,-3.867,5.3828,0,0.01,0.01,0.0
yellow,-1.745,7.5041,0,0.01,0.01,0.0
blue,-6.336,7.033,0,0.01,0.01,0.0
yellow,-5.188,9.8046,0,0.01,0.01,0.0
blue,-9.25,7.6125,0,0.01,0.01,0.0
yellow,-9.25,10.612,0,0.01,0.01,0.0
blue,-12.16,7.033,0,0.01,0.01,0.0
yellow,-13.31,9.8046,0,0.01,0.01,0.0
blue,-14.63,5.3828,0,0.01,0.01,0.0
yellow,-16.75,7.5041,0,0.01,0.01,0.0
blue,-16.28,2.9131,0,0.01,0.01,0.0
yellow,-19.05,4.0612,0,0.01,0.01,0.0
blue,-16.86,0.0,0,0.01,0.01,0.0
yellow,-19.86,0.0,0,0.01,0.01,0.0
blue,-16.28,-2.913,0,0.01,0.01,0.0
yellow,-19.05,-4.061,0,0.01,0.01,0.0
blue,-14.63,-5.382,0,0.01,0.01,0.0
yellow,-16.75,-7.504,0,0.01,0.01,0.0
blue,-12.16,-7.033,0,0.01,0.01,0.0
yellow,-13.31,-9.8,0,0.01,0.01,0.0
blue,-9.25,-7.612,0,0.01,0.01,0.0
yellow,-9.25,-10.61,0,0.01,0.01,0.0
blue,-6.336,-7.033,0,0.01,0.01,0.0
yellow,-5.188,-9.804,0,0.01,0.01,0.0
blue,-3.867,-5.382,0,0.01,0.01,0.0
yellow,-1.745,-7.504,0,0.01,0.01,0.0
blue,-2.216,-2.913,0,0.01,0.01,0.0
yellow,2.2169,-2.913,0,0.01,0.01,0.0
big_orange,-1.783,-1.485,0,0.01,0.01,0.0
big_orange,1.7837,-1.485,0,0.01,0.01,0.0
blue,-1.637,0.0,0,0.01,0.01,0.0
yellow,1.6375,0.0,0,0.01,0.01,0.0
big_orange,-1.783,1.4851,0,0.01,0.01,0.0
big_orange,1.7837,1.4851,0,0.01,0.01,0.0
