# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
0.0; 0.000; 40.83; 0.00037; -0.00364; 1.13118; -0.02525
3.0; 0.073; 41.09; 0.00039; -0.00386; 1.05617; -0.02550
6.0; 0.146; 41.34; 0.00041; -0.00409; 0.98049; -0.02575
9.0; 0.218; 41.58; 0.00044; -0.00434; 0.90411; -0.02601
12.0; 0.290; 41.83; 0.00047; -0.00461; 0.82704; -0.02628
15.0; 0.362; 42.06; 0.00051; -0.00491; 0.74925; -0.02655
18.0; 0.433; 42.30; 0.00054; -0.00523; 0.67074; -0.02683
21.0; 0.504; 42.53; 0.00058; -0.00557; 0.59147; -0.02712
24.0; 0.574; 42.75; 0.00062; -0.00594; 0.51142; -0.02743
27.0; 0.644; 42.98; 0.00066; -0.00633; 0.43056; -0.02775
30.0; 0.714; 43.20; 0.00071; -0.00676; 0.34886; -0.02808
33.0; 0.783; 43.41; 0.00076; -0.00722; 0.26627; -0.02844
36.0; 0.852; 43.63; 0.00082; -0.00771; 0.18275; -0.02881
39.0; 0.921; 43.83; 0.00088; -0.00825; 0.09826; -0.02921
42.0; 0.989; 44.04; 0.00095; -0.00882; 0.01273; -0.02963
45.0; 1.057; 44.24; 0.00102; -0.00944; -0.07391; -0.03007
48.0; 1.125; 44.44; 0.00109; -0.01010; -0.16171; -0.03055
51.0; 1.192; 44.64; 0.00117; -0.01082; -0.25075; -0.03106
54.0; 1.259; 44.83; 0.00126; -0.01159; -0.34113; -0.03161
57.0; 1.326; 45.03; 0.00136; -0.01242; -0.43294; -0.03220
60.0; 1.393; 45.22; 0.00146; -0.01331; -0.52628; -0.03283
63.0; 1.459; 45.40; 0.00157; -0.01427; -0.62126; -0.03351
66.0; 1.525; 45.58; 0.00169; -0.01531; -0.71801; -0.03424
69.0; 1.591; 45.77; 0.00182; -0.01643; -0.81666; -0.03502
72.0; 1.656; 45.94; 0.00196; -0.01764; -0.91732; -0.03585
75.0; 1.721; 46.12; 0.00211; -0.01895; -1.01999; -0.03664
