# e9431013-0813-4dd4-8846-b658dff6102d
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
216.0184389; 5.1874799; 5.6063313; 4.2458117; 0.7382511; -0.6745260; -2.5458117; 0.0000000; -0.7381362; 0.0001430; 41.0848593; 4.0179000
218.0406996; 7.4007355; 5.4142682; 4.3878503; 0.7382330; -0.6745459; -2.5529650; 2.9980829; -0.7378866; 0.0001066; 41.2798892; 4.0029845
220.0630290; 9.6139232; 5.4137073; 4.4069147; 0.7382076; -0.6745736; -2.5609922; 5.9961918; -0.7376237; 0.0000219; 41.6650675; 3.9733872
222.0854549; 11.8270257; 5.4020217; 4.4156520; 0.7381750; -0.6746092; -2.5693450; 8.9943314; -0.7376244; -0.0000225; 41.8552682; 3.9587036
224.1080052; 14.0400261; 5.3957948; 4.4188090; 0.7381353; -0.6746527; -2.5774569; 11.9925068; -0.7378918; -0.0001113; 42.2310184; 3.9295627
226.1307075; 16.2529073; 5.3893220; 4.4328025; 0.7380883; -0.6747041; -2.5847616; 14.9907227; -0.7381586; -0.0001557; 42.4166162; 3.9151038
228.1535896; 18.4656521; 5.3901415; 4.4332076; 0.7380342; -0.6747633; -2.5906927; 17.9889843; -0.7389584; -0.0002444; 42.7833734; 3.8864050
230.1766793; 20.6782437; 5.3952474; 4.4227761; 0.7379728; -0.6748305; -2.5946838; 20.9872978; -0.7394913; -0.0002888; 42.9645774; 3.8721637
232.2000043; 22.8906648; 5.3950803; 4.4036903; 0.7379042; -0.6749054; -2.5961682; 23.9856700; -0.7408233; -0.0003776; 43.3227437; 3.8438938
234.2235925; 25.1028985; 5.3951572; 4.3863257; 0.7378284; -0.6749883; -2.5945795; 26.9841093; -0.7416224; -0.0004219; 43.4997475; 3.8298638
