# 7288cf93-0938-4060-8f54-e91aa9908cd9
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 214.1389906; 6.9046961; -0.7381362; 0.0001430; 41.0848593; 4.0179000
1.9990031; 215.4839454; 8.3835808; -0.7378866; 0.0001066; 41.2798892; 4.0029845
3.9980061; 216.8285865; 9.8627531; -0.7377118; 0.0000663; 41.4732831; 3.9881472
5.9970092; 218.1730348; 11.3421059; -0.7376237; 0.0000219; 41.6650675; 3.9733872
7.9960123; 219.5174138; 12.8215124; -0.7376244; -0.0000225; 41.8552682; 3.9587036
9.9950154; 220.8618615; 14.3008608; -0.7377137; -0.0000669; 42.0439103; 3.9440957
11.9940184; 222.2065102; 15.7800328; -0.7378918; -0.0001113; 42.2310184; 3.9295627
13.9930215; 223.5514818; 17.2588991; -0.7381586; -0.0001557; 42.4166162; 3.9151038
15.9920246; 224.8969164; 18.7373499; -0.7385141; -0.0002000; 42.6007270; 3.9007181
17.9910277; 226.2429460; 20.2152669; -0.7389584; -0.0002444; 42.7833734; 3.8864050
19.9900307; 227.5896899; 21.6925177; -0.7394913; -0.0002888; 42.9645774; 3.8721637
21.9890338; 228.9372899; 23.1689946; -0.7401130; -0.0003332; 43.1443605; 3.8579936
23.9880369; 230.2858782; 24.6445794; -0.7408233; -0.0003776; 43.3227437; 3.8438938
25.9870399; 231.6355697; 26.1191349; -0.7416224; -0.0004219; 43.4997475; 3.8298638
27.9860430; 232.9865091; 27.5925566; -0.7425102; -0.0004663; 43.6753919; 3.8159028
29.9850461; 234.3388281; 29.0647258; -0.7434867; -0.0005107; 43.8496962; 3.8020102
31.9840492; 235.6926361; 30.5354993; -0.7445519; -0.0005551; 44.0226796; 3.7864843
33.9830522; 237.0480813; 32.0047764; -0.7457059; -0.0005994; 44.1942836; 3.7598624
35.9820553; 238.4052953; 33.4724382; -0.7469485; -0.0006438; 44.3640244; 3.7334934
37.9810584; 239.7643790; 34.9383328; -0.7482798; -0.0006882; 44.5319345; 3.7073733
39.9800615; 241.1254864; 36.4023653; -0.7496997; -0.0007325; 44.6980457; 3.6814984
41.9790645; 242.4887486; 37.8644167; -0.7512084; -0.0007769; 44.8623889; 3.6558649
43.9780676; 243.8542553; 39.3243230; -0.7528057; -0.0008212; 45.0249943; 3.6304693
45.9770707; 245.2221681; 40.7819979; -0.7544916; -0.0008656; 45.1858911; 3.6053079
47.9760737; 246.5926180; 42.2373218; -0.7562662; -0.0009099; 45.3451077; 3.5803775
49.9750768; 247.9656797; 43.6901157; -0.7581293; -0.0009542; 45.5026721; 3.5556746
51.9740799; 249.3415253; 45.1403042; -0.7600810; -0.0009985; 45.6586112; 3.5311959
